,0,1
489,nårdetgjeld,nårdetgjelder
490,nårdetgjeld,nårdetkommertil
491,nårdetkjemtil,nårdetkommertil
492,annanstades,annensteds
493,annanstadesfrå,annenstedsfra
494,annanstades,annenstedshen
495,annastadesfrå,annetstedsfra
496,austanom,austenom
497,bakafrå,bakenfra
498,bakanfrå,bakenfra
499,bakanifrå,bakenifra
500,der,derhen
501,der,dithen
502,der,ditover
503,framafrå,forfra
504,framanfrå,forfra
505,idet,deri
506,idette,heri
507,omdet,derom
508,meddet,derved
509,avdi,formedelst
510,framover,fremad
511,borte,henne
512,avleies,avsides
513,såleis,herigjennom
514,imorgon,imorgen
515,denneveka,denneuken
516,dennesommaren,dennesommeren
517,dennemånaden,dennemåneden
518,kjenslemessig,følelsesmessig
519,avrøynsle,erfaringsmessig
520,uavbrote,uavbrutt
521,mangfaldig,mangfoldig
522,langstrekt,langstrakt
523,langtfrå,langtfra
524,innover,innad
525,internt,innad
526,nedover,nedad
527,utover,utad
528,blantdei,hvoriblant
529,ned,ner
530,nede,nere
531,nedimot,nerimot
532,nær,nærme
533,korhen,hvorhen
534,nedanunder,nedenunder
535,samestades,sammesteds
536,samestadesfrå,sammestedsfra
537,sommestades,sommesteds
538,ifølgje,ifølge
539,medomsyntil,medhensyntil
540,isambandmed,ianledning
541,isambandmed,ianledningav
542,pågrunnav,ianledningav
543,isambandmed,iforbindelsemed
544,pågrunnav,ianledningav
545,medomsyntil,medhensynpå
546,medomsyntil,medhensyntil
547,imedhaldav,imedholdav
548,medatterhaldom,medforbeholdom
549,ryddeorvegen,skaffeavveien
550,tilskilnadfrå,tilforskjellfra
551,tilforskjellfrå,tilforskjellfra
552,underføresetnadav,underforutsetningav
553,medhandapåhjartet,medhåndenpåhjertet
554,medvåpenihand,medvåpenihånd
555,avalle,avdettotaleantallet
556,avdetsamlatalet,avdettotaleantallet
557,vedrørande,vedrørende
558,andsynes,vedrørende
559,rundt,vedrørende
560,påvegnerav,påvegneav
561,samanliknamed,sammenlignetmed
562,sidan,siden
563,-tal,-tall
564,-hol,-hull
565,osb,osv
566,mot,mht
567,skatning,beskatning
568,dobbeltskatning,dobbeltbeskatning
569,omkøyring,omkjøring
570,benåding,benådning
571,tilpassing,tilpasning
572,sikting,siktelse
573,etterleving,etterlevelse
574,framlegging,fremleggelse
575,framlegging,framleggelse
576,framlegging,fremlegging
577,mottaking,mottakelse
578,overtaking,overtakelse
579,utrusting,utrustning
580,væpning,bevæpning
581,fortøying,fortøyning
582,leivning,levning
583,overvaking,overvåking
584,overvaking,overvåkning
585,røyking,røkning
586,vaksinasjon,vaksinering
587,hovudlus,hodelus
588,mjølkesyre,melkesyre
589,nikkedokke,nikkedukke
590,snøbye,snøbyge
591,regnbye,regnbyge
592,stormbye,stormbyge
593,vindbye,vindbyge
594,torebye,tordenbyge
595,sluddbye,sluddbyge
596,skjelpadde,skilpadde
597,tilfredsheit,tilfredshet
598,liding,lidelse
599,misforståing,misforståelse
600,nedlegging,nedleggelse
601,utarbeiding,utarbeidelse
602,utestenging,utestengelse
603,utrydding,utryddelse
604,måloppnåing,måloppnåelse
605,grasløk,gressløk
606,hovudkål,hodekål
607,kristiansundar,kristiansunder
608,kulestøytar,kulestøter
609,hoggar,hugger
610,hoggar,hogger
611,bildehoggar,billedhugger
612,bildehoggar,billedhogger
613,overgripar,overgriper
614,pepar,pepper
615,svartpepar,svartpepper
616,kvitpepar,hvitpepper
617,chilipepar,chilipepper
618,kajennepepar,kajennepepper
619,tiggar,tigger
620,flygar,flyger
621,flygar,flyver
622,samfunnstryggleiks-ogberedskapsminister,samfunnssikkerhets-ogberedskapsminister
623,utruskap,utroskap
624,augnevitne,øyenvitne
625,livsteikn,livstegn
626,meirarbeid,merarbeid
627,samanbrot,sammenbrudd
628,matpinne,spisepinne
629,samfunnstryggleik,samfunnssikkerhet
630,vaksinasjon,vaksinering
631,nærvær,tilstedeværelse
632,overleving,overlevelse
633,ap-leiing,ap-ledelse
634,kreml-leiing,kreml-ledelse
635,lo-leiing,lo-ledelse
636,ol-leiing,ol-ledelse
637,spørjing,spørring
638,fordjuping,fordypning
639,fordjuping,fordyping
640,betring,bedring
641,betring,forbedring
642,forbetring,forbedring
643,valetskvalar,valgetskvaler
644,løyse,løshet
645,høg,høy
646,sjølv,selv
647,framand,fremmed
648,fram,frem
649,køyre,kjøre
650,lågenergi,lavenergi
651,utanlands,utenlands
652,fleir,fler
653,førehand,forhånd
654,førstegongs,førstegangs
655,heime,hjemme
656,ikkje,ikke
657,innanriks,innenriks
658,leite,lete
659,låg,lav
660,spele,spille
661,utanriks,utenriks
662,utanriks,utenriks
663,utandørs,utendørs
664,eggtjuv,eggetyv
665,bilbrukstjuveri,bilbrukstyveri
666,biltjuv,biltyv
667,biltjuveri,biltyveri
668,butikktjuv,butikktyv
669,butikktjuveri,butikktyveri
670,deildetjuv,deildetyv
671,hotelltjuv,hotelltyv
672,innlåsingstjuveri,innlåsingstyveri
673,lommetjuv,lommetyv
674,skaptjuv,skaptyv
675,smykketjuv,smykketyv
676,smykketjuveri,smykketyveri
677,stortjuv,stortyv
678,tjuv,tyv
679,tjuvegods,tyvegods
680,tjuveradd,tyveradd
681,tjuveri,tyveri
682,tjuvperm,tyvperm
