,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2013010705095,"Dahl, Tor Edvin",Marion og mysteriet med det havarerte flyet,2007,lettlest,nob,2007,,,
2013010805031,"Burnett, Frances Hodgson",,2007,,nob,2007,,,
2013010808184,"Svingen, Arne",,2010,"europa, foreldre, reiser, spenningslitteratur, søsken, ungdomsbøker",nob,2010,,,
2013010906010,"Knudsen, Lise",Med plekter i lomma,2008,"fedre, gitar, musikk, talent, ungdsombøker",nob,2008,,,
2013010906144,"Myklebust, Morten",Gråtass lurer skraphandlerne,2009,,nob,2009,,,
2013010906189,"Rørvik, Bjørn F.",Myggsprayen,2007,"biletbøker, billedbøker, dyr, humor, mygg, norske",nob,2007,,,
2013010906235,"Vik, Berit Vatne",Rop over havet,2007,"barnebøker, historie, historiske, norge, skjønnlitteratur",nno,2007,,,
2013010906237,"Aamodt, Ingunn",Romeo og Javeria,2007,"jehovas, kjærlighet, muslimer, religioner, tro, ungdomsbøker, vitner",nob,2007,,,
2013010906273,"Grimsrud, Beate",Klar ferdig gå!,cop. 2007,"barnebøker, foreldre, fotball, idrett, lidelser, psykiske, sport, søsken",nob,2007,,,
2013011005020,"Sande, Hans",Arkimedes i Prompeland,2006,"biletbøker, billedbøker, nonsens, skjønnlitteratur",nno,2006,,,
2013011506006,"Rey, Margret",Nysgjerrige Nils i lekebutikken,cop. 2008,"aper, barnebøker, billedbøker, klassiske",nob,2008,,,
2013011506019,"Klepp, Anneli",Mugne forviklinger,2007,,nob,2007,,,
2013011607169,"Aalbu, Ragnar",Grundig om gris,2005,"barnebøker, barnelitteratur, billedbøker, bokstaver, griser, humor, nonsens, store",nob,2005,,,
2013011607253,"Nivald, Ina",Tenåring - jeg???,2008,,nob,2008,,,
2013011706106,"Colfer, Eoin",Flygeren,2009,,nob,2009,,,
2013011706111,"Bergset, Vidar",Frå sigledammen til hoppbakken,2008,,nno,2008,,,
2013011708008,"Salmson, Jo",Tam og den nye dragen,2011,,nob,2011,,,
2013011708023,"Johansen, Siri Broch",Sárá biejvvegirjje :,2010,,smj,2010,romádna mánájda ja nuorajda,,
2013011708041,"Sage, Angie",Sirene,2010,,nob,2010,,,
2013012108089,"Gresh, Dannah",Kall meg Kate,cop. 2010,,nob,2010,,,
2013012205008,"Mjelva, Marianne",Livet med Penny,2009,,nob,2009,,,
2013012306100,"Fiske, Anna",Palle Puddel kjøper olabukser,cop. 2006,"begreper, billedbøker, klær, pekebøker",nob,2006,,,
2013012506085,"Anderson, Lena","Pinne, Grisen og vesle vennen",2007,"barnebøker, biletbøker, billedbøker, omsorg, skjønnlitteratur, vennskap",nno,2007,,,
2013012506086,"Janouch, Katerina",Ingrid har plaster,2006,"billdebøker, sår",nob,2006,,,
2013012506132,"Mayer, Mercer",Lille Rufus på sykehus,cop. 2007,,nob,2007,,,
2013012506200,"Linde, Heidi",Gjørmedrømmer :,2008,"forelskelse, pubertet, sommerferie, ungdomsbøker, vennskap",nob,2008,ungdomsroman,,
2013012506278,"Kennen, Ally",Bråk,2009,,nob,2009,,,
2013012508058,"Oksholen, Tore",Vi er de døde,2012,,nob,2012,,,
2013013008000,"Sørum, Steffen",Dødsengler :,2011,,nob,2011,momentum,,
2013013008042,"Gresh, Dannah",Danikas katastrofale kast,cop. 2010,,nob,2010,,,
2013013008205,"Pedersen, Morten N.",Bo er mørkredd,cop. 2011,"barn, billedbøker, mørkeredd",nob,2011,,,
2013013008323,"Nordqvist, Margareta",Kåre kanin og hinderløypa,2011,,nob,2011,,,
2013013105010,"Ringtved, Glenn",Fotball og kjærlighet,2010,,nob,2010,,,
2013013106271,"Klepp, Anneli",Mia velger leken,2009,"barnebøker, billedbøker, følelser, lek, lettlest, sjalusi",nob,2009,,,
2013013106277,"Desplechin, Marie",Aldri tilfreds,2009,"barnelitteratur, fransk",nno,2009,,,
2013013106295,"Jansson, Tove",Sent i november,2008,"barn, finlandssvensk, litteratur, skjønnlitteratur",nob,2008,,,
2013020106072,"Palmaer, Andreas",Søppelsjakalen :,2009,bildebøker,nob,2009,og andre moderne monstre,,
2013021538066,"Rishøi, Ingvild H.",Unbrakomonsteret :,2007,"billedbøker, nonsens",nob,2007,IKEA om natten,,
2013021538068,"Granli, Rut",To blå hus,2012,"billedbøker, tall",nob,2012,,,
2013022205087,"Keene, Carolyn",Gavemysteriet,cop. 2009,,nob,2009,,,
2013022238032,"Wilkes, Angela",Farlige dyr,2005,,nob,2005,,,
2013022238119,"Vesaas, Halldis Moren",Eg sette brillene på min katt,2007,"barnepoesi, biletbøker, billedbøker, dikt, skjønnlitteratur",nno,2007,,,
2013022506037,"Knudsen, Sverre",Hunden,2010,lettlest,nob,2010,,,
2013022506117,"Knutsen, Per",Hilsen en som elsker deg ; Luft og kjærlighet ; Kyss med ketchup,2010,,nob,2010,,,
2013022606087,"Fretheim, Tor",Johnny og Johanna :,2006,"barnebøker, familien, kjærlighet, pubertet, ungdomsbøker, vennskap",nob,2006,sommeren etter,,
2013022606199,"Jansson, Tove",Trollvinter,2008,"barn, barnebøker, litteratur",nob,2008,,,
2013022806082,"Mekjan, Sindre",Flukten fra Ko :,2009,,nob,2009,roman,,
2013030406003,"Karlberg, Inger",Tett på middelalderen :,2010,oslo,nob,2010,fortellinger fra Oslo,,
2013030406009,"Mæhle, Lars",Knoterud FK erobrer verden,2008,"barnebok, fotball, idrett",nob,2008,,,
2013030506033,"Miyata, Cathy","To store, takk!",2010,,nob,2010,,,
2013030506054,"Kjær, Jan",Kannibalens bytte,c2010,,nob,2010,,,
2013030506188,"Münch, Annette",Jenteloven,2010,,nob,2010,,,
