
"

;; The original files now contained in this single file include, in addition
;; to the verb irregular, the following:
;; pl_def_f_subst.irreg
;; pl_def_m_subst.irreg
;; pl_def_n_subst.irreg
;; pl_ind_f_subst.irreg
;; pl_ind_m_subst.irreg
;; pl_ind_n_subst.irreg
;; sg_def_f_subst.irreg
;; sg_def_m_subst.irreg
;; sg_def_n_subst.irreg

;;;;;;;;;; Verbs ;;;;;;;;;;
fløy pret-finalstr_infl_rule fly
fløyet ppart-finalstr-tt_infl_rule fly
flydd ppart-finalstr-dd_infl_rule fly
unnfløy pret-finalstr_infl_rule unnfly
unnfløyet ppart-finalstr-tt_infl_rule unnfly
unnflydd ppart-finalstr-dd_infl_rule unnfly
beinfløy pret-finalstr_infl_rule beinfly
beinfløyet ppart-finalstr-tt_infl_rule beinfly
beinflydd ppart-finalstr-dd_infl_rule beinfly

smurte pret-nonfstr_infl_rule smøre
smurt ppart-nonfstr_infl_rule smøre
innsmurte ppart-nonfstr_infl_rule innsmøre
innsmurt pret-nonfstr_infl_rule innsmøre
tilsmurte pret-nonfstr_infl_rule tilsmøre
tilsmurt ppart-nonfstr_infl_rule tilsmøre

lå pret-nonfstr_infl_rule ligge
forelå pret-nonfstr_infl_rule foreligge
tillå pret-nonfstr_infl_rule tilligge
pålå pret-nonfstr_infl_rule påligge

skein pret-nonfstr_infl_rule skinne
skinte pret-nonfstr_infl_rule skinne


ble pret-finalstr_infl_rule bli
blei pret-finalstr_infl_rule bli
forble pret-finalstr_infl_rule forbli
forblei pret-finalstr_infl_rule forbli
vedble pret-finalstr_infl_rule vedbli
vedblei pret-finalstr_infl_rule vedbli
uteble pret-finalstr_infl_rule utebli
uteblei pret-finalstr_infl_rule utebli



brann pret-nonfstr_infl_rule brenne
brant pret-nonfstr_infl_rule brenne
brent ppart-nonfstr_infl_rule brenne

smalt pret-nonfstr_infl_rule smelle
smelt ppart-nonfstr_infl_rule smelle

smatt pret-nonfstr_infl_rule smette

rann pret-nonfstr_infl_rule renne
rant pret-nonfstr_infl_rule renne
silrant pret-nonfstr_infl_rule silrenne

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

drap pret-nonfstr_infl_rule drepe
drepte pret-nonfstr_infl_rule drepe


forfulgte pret-nonfstr_infl_rule forfølge
forfulgt ppart-nonfstr_infl_rule forfølge
etterfulgte pret-nonfstr_infl_rule etterfølge
etterfulgt ppart-nonfstr_infl_rule etterfølge

viet pret-nonfstr_infl_rule vie
viet ppart-nonfstr_infl_rule vie
vigde pret-nonfstr_infl_rule vie
vigd ppart-nonfstr_infl_rule vie
ekteviet pret-nonfstr_infl_rule ektevie
ekteviet ppart-nonfstr_infl_rule ektevie
tiet pret-nonfstr_infl_rule tie
tiet ppart-nonfstr_infl_rule tie
tidde pret-nonfstr_infl_rule tie
tidd ppart-nonfstr_infl_rule tie

åt pret-nonfstr_infl_rule ete
ett ppart-nonfstr_infl_rule ete

fantes pret-nonfstr_infl_rule finnes
fans pret-nonfstr_infl_rule finnes
funnes ppart-nonfstr_infl_rule finnes
fantes ppart-nonfstr_infl_rule finnes
forefantes pret-nonfstr_infl_rule forefinnes
forefunnes ppart-nonfstr_infl_rule forefinnes

trafs pret-nonfstr_infl_rule treffes
traffes pret-nonfstr_infl_rule treffes
truffes ppart-nonfstr_infl_rule treffes
truffedes ppart-nonfstr_infl_rule treffes

lot pret-finalstr_infl_rule la


solgte pret-nonfstr_infl_rule selge
solgt ppart-nonfstr_infl_rule selge
undersolgte pret-nonfstr_infl_rule underselge
undersolgt ppart-nonfstr_infl_rule underselge
frasolgte pret-nonfstr_infl_rule fraselge
frasolgt ppart-nonfstr_infl_rule fraselge

parallellforskjøv pret-nonfstr_infl_rule parallellforskyve
parallellforskjøvet ppart-nonfstr_infl_rule parallellforskyve
parallellforskauv pret-nonfstr_infl_rule parallellforskyve
parallellforskyvd ppart-nonfstr_infl_rule parallellforskyve
forskjøv pret-nonfstr_infl_rule forskyve
forskjøvet ppart-nonfstr_infl_rule forskyve
forskauv pret-nonfstr_infl_rule forskyve
forskyvd ppart-nonfstr_infl_rule forskyve
skjøv pret-nonfstr_infl_rule skyve
skjøvet ppart-nonfstr_infl_rule skyve
skauv pret-nonfstr_infl_rule skyve
skyvd ppart-nonfstr_infl_rule skyve

gjøv pret-nonfstr_infl_rule gyve
gjøvet ppart-nonfstr_infl_rule gyve
gauv pret-nonfstr_infl_rule gyve
gyvd ppart-nonfstr_infl_rule gyve

gjaldt pret-nonfstr_infl_rule gjelde
gjeldt pret-nonfstr_infl_rule gjelde

innvalgte pret-nonfstr_infl_rule innvelge
innvalgt ppart-nonfstr_infl_rule innvelge
valgte pret-nonfstr_infl_rule velge
valgt ppart-nonfstr_infl_rule velge

tør pres-infl_rule tørre
torde pret-nonfstr_infl_rule tørre
tort  ppart-nonfstr_infl_rule tørre
tør pres-infl_rule tore
torde pret-nonfstr_infl_rule tore
tort  ppart-nonfstr_infl_rule tore

tro pret-finalstr_infl_rule trå

kvalte pret-nonfstr_infl_rule kvele
kvalt ppart-nonfstr_infl_rule kvele

kvakk pret-nonfstr_infl_rule kvekke
kvekket pret-nonfstr_infl_rule kvekke

vet pres-infl_rule vite
veit pres-infl_rule vite
visste pret-nonfstr_infl_rule vite
visst ppart-nonfstr_infl_rule vite

er pres-infl_rule være
var pret-nonfstr_infl_rule være
vært ppart-nonfstr_infl_rule være
overvar pret-nonfstr_infl_rule overvære
overvært ppart-nonfstr_infl_rule overvære

må pres-infl_rule måtte
måtte pret-nonfstr_infl_rule måtte
måttet ppart-nonfstr_infl_rule måtte

bør pres-infl_rule burde
burde pret-nonfstr_infl_rule burde
burdet ppart-nonfstr_infl_rule burde

kan pres-infl_rule kunne
kunne pret-nonfstr_infl_rule kunne
kunnet ppart-nonfstr_infl_rule kunne

skal pres-infl_rule skulle
skulle pret-nonfstr_infl_rule skulle
skullet ppart-nonfstr_infl_rule skulle

vil pres-infl_rule ville
ville pret-nonfstr_infl_rule ville
villet ppart-nonfstr_infl_rule ville

kom pret-nonfstr_infl_rule komme
tilkom pret-nonfstr_infl_rule tilkomme
ankom pret-nonfstr_infl_rule ankomme
avstedkom pret-nonfstr_infl_rule avstedkomme
etterkom pret-nonfstr_infl_rule etterkomme
framkom pret-nonfstr_infl_rule framkomme
fremkom pret-nonfstr_infl_rule fremkomme
forekom pret-nonfstr_infl_rule forekomme
etterkom pret-nonfstr_infl_rule etterkomme
imøtekom pret-nonfstr_infl_rule imøtekomme
omkom pret-nonfstr_infl_rule omkomme

kommet ppart-nonfstr_infl_rule komme
tilkommet ppart-nonfstr_infl_rule tilkomme
ankommet ppart-nonfstr_infl_rule ankomme
avstedkommet ppart-nonfstr_infl_rule avstedkomme
etterkommet ppart-nonfstr_infl_rule etterkomme
framkommet ppart-nonfstr_infl_rule framkomme
fremkommet ppart-nonfstr_infl_rule fremkomme
forekommet ppart-nonfstr_infl_rule forekomme
etterkommet ppart-nonfstr_infl_rule etterkomme
imøtekommet ppart-nonfstr_infl_rule imøtekomme
omkommet ppart-nonfstr_infl_rule omkomme

kom imp-delete_infl_rule komme
tilkom imp-delete_infl_rule tilkomme
ankom imp-delete_infl_rule ankomme
avstedkom imp-delete_infl_rule avstedkomme
etterkom imp-delete_infl_rule etterkomme
framkom imp-delete_infl_rule framkomme
fremkom imp-delete_infl_rule fremkomme
forekom imp-delete_infl_rule forekomme
etterkom imp-delete_infl_rule etterkomme
imøtekom imp-delete_infl_rule imøtekomme
omkom imp-delete_infl_rule omkomme

;;;;;;;;;;;;;;


;;;;;;;;;;;;;;;;;;;;
møtte pret-nonfstr_infl_rule møte
møtt ppart-nonfstr_infl_rule møte

;;;;;;;;;;
brakte pret-nonfstr_infl_rule bringe
brakt ppart-nonfstr_infl_rule bringe
anbrakte pret-nonfstr_infl_rule anbringe
anbrakt ppart-nonfstr_infl_rule anbringe
tilbrakte pret-nonfstr_infl_rule tilbringe
tilbrakt ppart-nonfstr_infl_rule tilbringe
overbrakte pret-nonfstr_infl_rule overbringe
overbrakt ppart-nonfstr_infl_rule overbringe
viderebrakte pret-nonfstr_infl_rule viderebringe
viderebrakt ppart-nonfstr_infl_rule viderebringe
frambrakte pret-nonfstr_infl_rule frambringe
frambrakt ppart-nonfstr_infl_rule frambringe
frembrakte pret-nonfstr_infl_rule frembringe
frembrakt ppart-nonfstr_infl_rule frembringe



holdt pret-nonfstr_infl_rule holde
holdt ppart-nonfstr_infl_rule holde
anholdt pret-nonfstr_infl_rule anholde
anholdt ppart-nonfstr_infl_rule anholde
framholdt pret-nonfstr_infl_rule framholde
framholdt ppart-nonfstr_infl_rule framholde
fremholdt pret-nonfstr_infl_rule fremholde
fremholdt ppart-nonfstr_infl_rule fremholde
inneholdt pret-nonfstr_infl_rule inneholde
inneholdt ppart-nonfstr_infl_rule inneholde
overholdt pret-nonfstr_infl_rule overholde
overholdt ppart-nonfstr_infl_rule overholde
beholdt pret-nonfstr_infl_rule beholde
beholdt ppart-nonfstr_infl_rule beholde
bibeholdt pret-nonfstr_infl_rule bibeholde
bibeholdt ppart-nonfstr_infl_rule bibeholde
fastholdt pret-nonfstr_infl_rule fastholde
fastholdt ppart-nonfstr_infl_rule fastholde
forholdt pret-nonfstr_infl_rule forholde
forholdt ppart-nonfstr_infl_rule forholde
oppholdt pret-nonfstr_infl_rule oppholde
oppholdt ppart-nonfstr_infl_rule oppholde
opprettholdt pret-nonfstr_infl_rule opprettholde
opprettholdt ppart-nonfstr_infl_rule opprettholde
underholdt pret-nonfstr_infl_rule underholde
underholdt ppart-nonfstr_infl_rule underholde


la pret-nonfstr_infl_rule legge
lagt ppart-nonfstr_infl_rule legge
anla pret-nonfstr_infl_rule anlegge
anlagt ppart-nonfstr_infl_rule anlegge
forela pret-nonfstr_infl_rule forelegge
forelagt ppart-nonfstr_infl_rule forelegge
framla pret-nonfstr_infl_rule framlegge
framlagt ppart-nonfstr_infl_rule framlegge
fremla pret-nonfstr_infl_rule fremlegge
fremlagt ppart-nonfstr_infl_rule fremlegge
kartla pret-nonfstr_infl_rule kartlegge
kartlagt ppart-nonfstr_infl_rule kartlegge
klarla pret-nonfstr_infl_rule klarlegge
klarlagt ppart-nonfstr_infl_rule klarlegge
tilla pret-nonfstr_infl_rule tillegge
tillagt ppart-nonfstr_infl_rule tillegge
tilrettela pret-nonfstr_infl_rule tilrettelegge
tilrettelagt ppart-nonfstr_infl_rule tilrettelegge
nedla pret-nonfstr_infl_rule nedlegge
nedlagt ppart-nonfstr_infl_rule nedlegge
overla pret-nonfstr_infl_rule overlegge
overlagt ppart-nonfstr_infl_rule overlegge
bela pret-nonfstr_infl_rule belegge
belagt ppart-nonfstr_infl_rule belegge
bila pret-nonfstr_infl_rule bilegge
bilagt ppart-nonfstr_infl_rule bilegge
beslagla pret-nonfstr_infl_rule beslaglegge
beslaglagt ppart-nonfstr_infl_rule beslaglegge
planla pret-nonfstr_infl_rule planlegge
planlagt ppart-nonfstr_infl_rule planlegge
påla pret-nonfstr_infl_rule pålegge
pålagt ppart-nonfstr_infl_rule pålegge
vedla pret-nonfstr_infl_rule vedlegge
vedlagt ppart-nonfstr_infl_rule vedlegge
vektlagt ppart-nonfstr_infl_rule vektlegge
ødela pret-nonfstr_infl_rule ødelegge
ødelagt ppart-nonfstr_infl_rule ødelegge

gjør pres-infl_rule gjøre
gjorde pret-nonfstr_infl_rule gjøre
gjort ppart-nonfstr_infl_rule gjøre
avgjør pres-infl_rule avgjøre
avgjorde pret-nonfstr_infl_rule avgjøre
avgjort ppart-nonfstr_infl_rule avgjøre
anskueliggjør pres-infl_rule anskueliggjøre
anskueliggjorde pret-nonfstr_infl_rule anskueliggjøre
anskueliggjort ppart-nonfstr_infl_rule anskueliggjøre
bekjentgjør pres-infl_rule bekjentgjøre
bekjentgjorde pret-nonfstr_infl_rule bekjengjøre
bekjengjort ppart-nonfstr_infl_rule bekjengjøre
vanskeliggjør pres-infl_rule vanskeliggjøre
vanskeliggjorde pret-nonfstr_infl_rule vanskeliggjøre
vanskeliggjort ppart-nonfstr_infl_rule vanskeliggjøre
