,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995
Borghild,1,,,,,,,,,
Born,1,,,,,,,,1.0,1.0
Borås,1,1.0,,,,,,,,
Boston,1,1.0,,,,,,,,1.0
Bra,1,1.0,,,1.0,1.0,2.0,2.0,3.0,2.0
Brannfolkene,1,,,,,,,,,
Brede,1,,,,,,,1.0,1.0,
Bremers,1,1.0,,,,,,,,
Brev,1,1.0,,,,,,,,
Brevet,1,1.0,,,,1.0,2.0,,,
Brevskole,1,,,,,,,,,
Britene,1,,,,,,2.0,2.0,,
Brochmann,1,,,,,,,,,
Broene,1,,,,,,,,,
Btyrke,1,,,,,,,,,
Bull,1,1.0,,,,,,1.0,1.0,1.0
Buraas,1,2.0,1.0,1.0,,,,1.0,1.0,1.0
Buskildsrudkomitéen,1,1.0,,,,,,,,
Bye,4,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0
Byen,1,1.0,1.0,,,,,,,
Både,3,3.0,,1.0,3.0,4.0,9.0,18.0,25.0,19.0
Båstad,1,1.0,,,,,,,,
Bærer,1,1.0,,,,,,,,
Bøndene,1,,,,,,,,1.0,1.0
California,1,,3.0,3.0,,8.0,9.0,6.0,2.0,
Camus,1,1.0,,,,,,1.0,1.0,3.0
Carl,3,4.0,13.0,12.0,4.0,11.0,9.0,8.0,4.0,3.0
Carlsen,2,1.0,,,,,,,,1.0
Caspar,1,,,,,,,,,
CfJ,1,1.0,1.0,,,,,,,
Charles,1,,1.0,2.0,1.0,,,,,
Cheng,1,,,,,,,,,
Chi-ming,1,,,,,,,,,
Chicago,1,1.0,2.0,1.0,,,2.0,2.0,1.0,1.0
Chr,1,11.0,12.0,2.0,2.0,,,,,
Chronicle,2,2.0,2.0,,,,,,,
Chronide,1,1.0,1.0,,,,,,,
Churchill,2,1.0,,,,,1.0,,,
Churchills,2,2.0,,,,,,,,
Ci,1,1.0,,,,,,,,
College,6,6.0,2.0,1.0,,,2.0,3.0,4.0,7.0
Colombia-universditetet,1,1.0,,,,,,,,
Colorado,2,2.0,,,,,1.0,2.0,1.0,2.0
Columbia,2,3.0,4.0,7.0,6.0,2.0,1.0,,1.0,2.0
Columbia-universitetet,2,5.0,4.0,6.0,2.0,1.0,,,,
Confidential,1,1.0,,,,,,,,
Connel,1,1.0,,,,,,,,
D,2,3.0,3.0,2.0,8.0,9.0,6.0,7.0,8.0,8.0
DE,3,4.0,3.0,1.0,1.0,,,1.0,1.0,
DEN,1,2.0,3.0,3.0,1.0,,1.0,2.0,1.0,
DETEKTIV,1,1.0,,,,,,,,
DK,1,1.0,,,,,,,,
DOMMERMAN6EL,1,,,,,,,,,
DUKKET,1,1.0,,,,,,,,
Da,4,7.0,9.0,10.0,9.0,23.0,27.0,40.0,44.0,43.0
Daae,1,1.0,,,,,,,,
Dagblad-journalistikk,1,1.0,,,,,,1.0,,
Dagblad-venstre,1,,,,,,,,,
Dagblad-venstres,1,1.0,,,,,,,,
Dagbladet,9,11.0,13.0,12.0,25.0,49.0,30.0,55.0,60.0,72.0
Dagbladets,21,7.0,5.0,8.0,8.0,19.0,16.0,37.0,34.0,21.0
Dagens,1,3.0,3.0,3.0,4.0,10.0,29.0,47.0,58.0,47.0
Dagsavisa,1,,,,,,,,,
Dagsrunden,1,1.0,,,,,,,,
Dahl,1,,,,1.0,2.0,1.0,1.0,1.0,2.0
Dai,1,1.0,,,,,,,,
Dalle,1,1.0,1.0,,,,,,,
Damer,1,,,,,,,,,
Danmark,2,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,
Dansk,1,,,,,,,,,1.0
Dat,1,1.0,,,,,,,,
Davidson,2,2.0,,,,,,,,
Day,2,3.0,1.0,1.0,,,,,,
Ddgblad,1,,,,,,,,,
De,34,28.0,46.0,50.0,46.0,57.0,54.0,87.0,111.0,139.0
