,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995
hyn-somtale,1,1.0,,,,,,,,
hån,1,,,,,1.0,1.0,3.0,3.0,1.0
håndfast,1,1.0,,,,,,,,
håp,1,1.0,,,,2.0,2.0,,2.0,5.0
høgre,1,1.0,1.0,,,,,,,1.0
hør,1,,,,,,1.0,1.0,,1.0
høre,1,,,,,4.0,5.0,3.0,4.0,3.0
hører,9,6.0,5.0,8.0,6.0,8.0,13.0,18.0,20.0,14.0
hørte,1,7.0,8.0,2.0,,,,1.0,1.0,2.0
høve,2,1.0,,,4.0,8.0,6.0,8.0,3.0,3.0
høvet,1,,1.0,1.0,1.0,,,,,
høy,5,4.0,5.0,7.0,6.0,8.0,9.0,19.0,14.0,11.0
høycste,1,,,,,,,,,
høyder,1,,,,,1.0,1.0,,1.0,1.0
høye,2,4.0,4.0,1.0,2.0,2.0,,6.0,9.0,8.0
høyere,6,5.0,3.0,1.0,3.0,9.0,11.0,30.0,42.0,38.0
høyeste,2,2.0,8.0,7.0,2.0,6.0,9.0,14.0,13.0,7.0
høyne,1,,,,1.0,3.0,2.0,,1.0,1.0
høyreorienterte,2,2.0,,,,,,,,
høyrepressen,2,1.0,,,,,,,,
høyskolen,3,,,,,,,2.0,7.0,6.0
høyst,2,5.0,4.0,2.0,2.0,5.0,3.0,6.0,6.0,2.0
høyverdig,1,1.0,,2.0,4.0,5.0,3.0,3.0,3.0,2.0
i,839,1239.0,1610.0,1529.0,1711.0,2295.0,2762.0,4240.0,4962.0,5219.0
iNflttVafct,1,,,,,,,,,
iaere,1,,,,,,,,,
iakttagelsesevnen,1,,,,,,,,,
iallfall,1,3.0,3.0,2.0,2.0,2.0,6.0,7.0,6.0,2.0
iblant,1,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0
id,2,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,9.0
idag,3,3.0,4.0,5.0,7.0,4.0,7.0,9.0,6.0,1.0
idensknp,1,,,,,,,,,
idet,4,4.0,1.0,1.0,2.0,1.0,,1.0,1.0,
idrett,5,10.0,11.0,69.0,69.0,18.0,14.0,2.0,7.0,20.0
idretts,4,4.0,2.0,,,,,,,
idrettslivet,1,1.0,,,,,,,1.0,
idérikdom,1,,,1.0,1.0,,,,,
ien,1,2.0,2.0,2.0,1.0,,,3.0,3.0,1.0
ifle,1,,,,,,,,,
ifolge,1,,1.0,1.0,2.0,1.0,,,,1.0
ig,1,1.0,1.0,,,,1.0,1.0,4.0,17.0
igang,1,2.0,3.0,5.0,2.0,,,1.0,1.0,1.0
igjen,2,2.0,2.0,4.0,7.0,16.0,27.0,23.0,18.0,20.0
iherdig,1,1.0,,,,1.0,2.0,1.0,1.0,2.0
iherdige,1,,,,,2.0,1.0,1.0,,
ihøst,1,1.0,,,,,,,,
iii,1,1.0,1.0,,,,,,,
iingdom,1,1.0,1.0,,,,,,,
iitfoldetse,1,1.0,,,,,,,,
iivor,1,1.0,,,,,,,,
ij,1,,,,,,,,,
ijKAWD,1,1.0,1.0,,,,,,,
ikk,1,2.0,2.0,,,,1.0,3.0,3.0,1.0
ikkc,1,1.0,,1.0,1.0,,2.0,3.0,3.0,
ikke,165,180.0,229.0,296.0,367.0,571.0,679.0,1003.0,1081.0,972.0
ikkje,4,11.0,12.0,15.0,45.0,76.0,83.0,90.0,65.0,96.0
ikké,3,2.0,,,,,,,,
il,1,3.0,2.0,1.0,1.0,1.0,3.0,5.0,10.0,8.0
ilhorer,1,,,,,,,,,
ili,1,1.0,1.0,,,,,,,
illag,1,,,,,,,,,
illustrasjoner,1,,1.0,1.0,,,1.0,1.0,,
imellem,1,,,,,,,,,
imener,1,,,,,,,,,
imidlertid,5,10.0,10.0,8.0,19.0,31.0,30.0,39.0,41.0,29.0
imorgen,1,1.0,,,,,,,,
imot,3,2.0,2.0,,4.0,12.0,10.0,13.0,17.0,13.0
implisert,1,1.0,1.0,,,,,,,
improviserte,1,1.0,,,,,,,,
in,2,2.0,1.0,2.0,3.0,5.0,3.0,6.0,12.0,18.0
in-,1,1.0,3.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0
ina,1,1.0,,,,,,,,
inaktive,1,,,,,,,,,
inan,1,2.0,1.0,1.0,1.0,,,,,
indirekte,2,2.0,1.0,,,1.0,1.0,2.0,4.0,3.0
industri,4,8.0,6.0,2.0,,1.0,2.0,1.0,3.0,3.0
industribedrift,1,1.0,1.0,,,,,,,
industrien,1,1.0,,,,1.0,1.0,4.0,2.0,
ineckt,1,,,,,,,,,
informasjoner,4,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0
ingen,20,23.0,17.0,8.0,16.0,36.0,55.0,82.0,87.0,78.0
ingenior,1,,,,,,,,,
initiativ,2,1.0,1.0,2.0,3.0,6.0,9.0,11.0,5.0,3.0
initiativrik,1,,,,,1.0,4.0,4.0,,
inkonsekvent,1,,,,,,,,,
inlcresse,1,,,,,,,,,
inn,13,38.0,42.0,26.0,24.0,43.0,60.0,62.0,68.0,71.0
inn-,2,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,
innarbeid,1,,,,,,,,,
innblikk,1,,2.0,4.0,5.0,2.0,1.0,2.0,4.0,4.0
innbringer,1,,,,,,,,,
innbudt,1,,,,,,,,,
innbyrdes,3,,,,,,,,,
inneholder,1,1.0,,,,3.0,5.0,4.0,4.0,7.0
inneholdt,2,1.0,3.0,3.0,,,1.0,,1.0,3.0
innen,6,13.0,25.0,43.0,87.0,118.0,190.0,305.0,394.0,364.0
innenfor,4,5.0,7.0,21.0,30.0,54.0,61.0,115.0,133.0,89.0
innenriks-,1,,,,,,,,,
innentor,1,,,,,,,,,
inneriks-,1,1.0,,,,,,,,
innfore,1,,,,,,,,1.0,
innføres,1,1.0,1.0,1.0,,,,,,
innføring,4,15.0,63.0,65.0,63.0,25.0,18.0,16.0,14.0,10.0
innført,1,,,1.0,2.0,3.0,4.0,10.0,6.0,4.0
innførte,1,,,2.0,2.0,2.0,2.0,6.0,4.0,3.0
innholdet,1,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0
innimellom,2,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0
innkjørselsport,1,,,,,,,,,
innlegg,4,3.0,,2.0,4.0,6.0,4.0,4.0,10.0,18.0
innlevering,2,,,,,,,,,
innlysende,1,1.0,,,,1.0,,,1.0,1.0
innrømme,1,,,,1.0,1.0,1.0,,,1.0
innrømmet,1,,,,1.0,2.0,2.0,5.0,5.0,
innsats,2,4.0,4.0,4.0,4.0,4.0,6.0,6.0,2.0,8.0
innskrenker,1,,,,,,,,,
innslag,1,2.0,2.0,1.0,3.0,7.0,12.0,7.0,6.0,3.0
innslaget,1,,,,,1.0,2.0,3.0,2.0,2.0
innstilling,1,1.0,,,2.0,2.0,1.0,,2.0,4.0
innstilt,1,1.0,,,,1.0,1.0,,4.0,8.0
inntar,1,,3.0,3.0,,,,,,
inntrykk,1,1.0,7.0,6.0,4.0,3.0,9.0,11.0,15.0,13.0
innvie,1,,,,,,,,,
ino,1,1.0,,,,,,,,
inotar,1,1.0,,,,,,,,
inspirerte,1,,,,,,,1.0,1.0,
insr,1,1.0,,,,,,,,
instruks,1,1.0,,,,,,,,
int,1,1.0,,,,,,,,
intelligent,2,1.0,1.0,,1.0,1.0,4.0,5.0,4.0,5.0
interesert,1,,,,,,,,,
interessant,3,2.0,,2.0,8.0,12.0,17.0,33.0,45.0,41.0
interesse,45,61.0,78.0,58.0,47.0,83.0,132.0,145.0,117.0,86.0
interesser,4,5.0,3.0,3.0,5.0,8.0,8.0,7.0,13.0,14.0
interessere,2,1.0,4.0,5.0,4.0,,1.0,4.0,4.0,1.0
interesserer,1,2.0,2.0,,2.0,6.0,6.0,6.0,3.0,1.0
interessert,25,25.0,15.0,17.0,20.0,27.0,20.0,31.0,34.0,26.0
interesserte,2,2.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0
internasjonal,8,7.0,9.0,10.0,11.0,15.0,17.0,34.0,26.0,15.0
internasjonale,10,50.0,50.0,1.0,,,6.0,9.0,16.0,16.0
internat,1,1.0,1.0,,,,,,,
intervju,1,4.0,5.0,2.0,3.0,9.0,13.0,16.0,11.0,2.0
intervjuaren,1,,,,,,,,,
intervjuer,1,1.0,1.0,1.0,2.0,4.0,3.0,3.0,12.0,18.0
intervjuet,3,1.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0
intolerant,1,1.0,1.0,,,,,,,
intresse,1,1.0,1.0,,,,,,,
introduserer,1,1.0,,,,,,,,
ior,1,,1.0,1.0,,,,1.0,1.0,
iorm,1,,,,,,,,,
ir,2,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0
ironi,1,1.0,1.0,1.0,,,1.0,1.0,,3.0
irr,1,,,,,,,,,
irritere,2,2.0,,,,,,,,1.0
is,1,2.0,1.0,,,2.0,2.0,2.0,2.0,
isamen,1,,,,,,,,,
isk,1,1.0,,,,,,1.0,1.0,3.0
isprengt,1,,,,,,,,,
isse,2,2.0,,,,,,,,
ist,1,2.0,2.0,1.0,,,,,,
it,1,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0
ivrig,2,4.0,2.0,,,,,1.0,,
ißank,1,,,,,,,,,
j,6,7.0,10.0,13.0,12.0,10.0,17.0,22.0,26.0,31.0
ja,5,4.0,6.0,4.0,7.0,9.0,5.0,6.0,7.0,12.0
jage,1,,,,,,,1.0,1.0,
jans,1,1.0,1.0,,,,,,,
januar,1,,,,3.0,3.0,2.0,5.0,12.0,10.0
jcurnalistlsrling,1,1.0,1.0,,,,,,,
jeg,42,50.0,55.0,67.0,113.0,208.0,268.0,381.0,404.0,350.0
jer,1,1.0,,,,,,,,
jern,1,,,,,,,,,
jesuitten,1,,,,,,,,,
jo,7,10.0,14.0,17.0,20.0,37.0,44.0,32.0,39.0,51.0
joler,1,1.0,,,,,,,,
jons,1,1.0,,,,,,,,
jord-,1,1.0,1.0,,,,,,,
jordbruk,1,,1.0,1.0,3.0,3.0,1.0,1.0,,
jordbruksarbeid,1,,,,,,,,,
jordbruksfunksjonærar,1,1.0,,,,,,,,
jordisk,4,4.0,,,,,,,,
joumalistlærling,1,,,,,,,,,
journalist,9,15.0,20.0,16.0,21.0,31.0,32.0,37.0,37.0,38.0
journalist-studenten,1,,,,,,,,,
journalistakademi,1,,,,,,,,,
journalistar,1,,1.0,1.0,4.0,7.0,8.0,4.0,4.0,6.0
journalistenes,2,2.0,,,,,,2.0,2.0,1.0
journalister,7,14.0,17.0,18.0,19.0,29.0,39.0,55.0,83.0,93.0
journalistgruppe,2,,,,,,,,,
journalistikk,8,20.0,32.0,34.0,44.0,68.0,96.0,158.0,190.0,228.0
journalistisk,1,1.0,2.0,5.0,6.0,9.0,14.0,19.0,25.0,32.0
journalistskole,1,,,1.0,1.0,1.0,,,,
journalistutdånnelse,1,,,,,,,,,
joxunalister,1,1.0,,,,,,,,
jr,1,1.0,1.0,,,,,1.0,1.0,1.0
jr.,2,2.0,,,,3.0,2.0,2.0,2.0,
jtudiene,1,1.0,,,,,,,,
jul,1,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,2.0
juni,1,,1.0,1.0,,,4.0,4.0,4.0,5.0
juridicum,1,1.0,,,,,,,,
jus,3,5.0,5.0,7.0,7.0,5.0,13.0,28.0,41.0,34.0
juss,1,,,1.0,1.0,,1.0,4.0,5.0,6.0
jxililikk,1,,,,,,,,,
jødene,1,,,,,,,,,
k,4,6.0,5.0,4.0,6.0,4.0,4.0,4.0,6.0,8.0
ka,1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
kafélokale,1,1.0,,,,,,,,
kalies,1,1.0,,,,,,,,
kall,2,1.0,4.0,5.0,2.0,,1.0,10.0,10.0,2.0
kalle,5,6.0,6.0,6.0,16.0,18.0,15.0,17.0,20.0,30.0
kaller,3,4.0,5.0,8.0,17.0,32.0,29.0,43.0,40.0,44.0
kalles,5,4.0,4.0,5.0,10.0,22.0,29.0,52.0,41.0,37.0
kallet,1,,,,,1.0,,1.0,1.0,
kalte,1,1.0,2.0,5.0,6.0,6.0,3.0,4.0,4.0,7.0
kammer,1,1.0,,,,,,,,
kan,70,87.0,109.0,141.0,200.0,325.0,381.0,511.0,483.0,426.0
kanskje,9,11.0,13.0,12.0,21.0,35.0,45.0,68.0,71.0,58.0
kap,1,,1.0,1.0,1.0,,,,,
kapitel,1,1.0,1.0,1.0,,,,,,
kapitlene,1,1.0,,,,,,,,
kapitler,2,,,,,,,,1.0,1.0
karakter,1,1.0,1.0,2.0,2.0,4.0,6.0,9.0,10.0,7.0
karakterisere,6,8.0,12.0,10.0,6.0,4.0,11.0,8.0,2.0,1.0
karakteriserer,3,3.0,1.0,,2.0,7.0,10.0,9.0,4.0,2.0
karakteriseres,3,2.0,2.0,4.0,5.0,9.0,3.0,1.0,,
karakterisert,3,,,,1.0,4.0,6.0,3.0,1.0,
karakteriserte,1,1.0,1.0,,,1.0,6.0,8.0,4.0,1.0
karakteristikk,2,5.0,5.0,1.0,,1.0,2.0,6.0,6.0,4.0
karakteristisk,4,2.0,3.0,3.0,3.0,2.0,2.0,,,
karakteristiske,1,1.0,,1.0,1.0,1.0,,,,
karakteritisk,1,1.0,,,,,,,,
karen,1,,,,,,,,,
kaster,1,1.0,,,2.0,3.0,1.0,5.0,2.0,3.0
katastrofale,1,,,,,,,,,
katten,3,3.0,,,,,,,,
ke,1,,,3.0,3.0,,3.0,6.0,5.0,5.0
kelig,1,2.0,1.0,,,,1.0,1.0,,
kemteka,1,1.0,1.0,,,,,,,
kens,1,1.0,1.0,,,,,,,1.0
ker,1,,,,,,1.0,1.0,,
kimskj,1,,,,,,,,,
kirke,1,,,6.0,6.0,,1.0,2.0,2.0,1.0
kirkefolk,1,1.0,,,,,,,,
kirkeministeren,1,,,,,,,,,
kirken,1,1.0,1.0,,,,,,,2.0
kirkes,1,1.0,,,,,,,,
kjede,1,1.0,,,,,,,,
kjedelig,1,,,1.0,2.0,3.0,2.0,6.0,7.0,6.0
kjedsommelig,1,2.0,1.0,,,,,,,
kjemper,1,,,,3.0,7.0,5.0,5.0,,
kjenner,7,4.0,6.0,6.0,7.0,10.0,20.0,23.0,38.0,27.0
kjennes,1,,,1.0,1.0,,,,,
kjennetegner,1,,,,1.0,1.0,,,,2.0
kjennetegnet,1,1.0,1.0,1.0,,,,,2.0,3.0
kjennskap,5,11.0,8.0,14.0,19.0,27.0,31.0,28.0,20.0,14.0
kjennskop,1,1.0,1.0,,,,,,,
kjensgjerningene,1,1.0,,,,,,,,
kjent,5,5.0,3.0,6.0,11.0,16.0,30.0,35.0,30.0,29.0
kjgeriige,1,1.0,,,,,,,,
kjiHrbarn,1,,,,,,,,,
kjæledegge,1,1.0,,,,,,,,
kjøkkenerfåring,1,,,,,,,,,
kjøpte,1,,,,,,,1.0,1.0,
kjøreuhell,1,1.0,,,,,,,,
kl.,2,2.0,1.0,2.0,4.0,5.0,6.0,13.0,12.0,7.0
klage,1,,,,,,2.0,3.0,3.0,2.0
klar,3,6.0,4.0,5.0,9.0,10.0,8.0,11.0,17.0,16.0
klare,1,1.0,3.0,3.0,2.0,8.0,13.0,19.0,25.0,17.0
klart,4,2.0,4.0,7.0,12.0,20.0,17.0,35.0,33.0,21.0
klasse,5,4.0,6.0,6.0,10.0,12.0,10.0,11.0,9.0,18.0
klasseforræderske,1,,,,,,,,,
klasselovgivning,1,,,,,,,,,
klassisk,1,2.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,7.0
kler,1,1.0,,,,,,,,
klippet,1,2.0,1.0,,,,,,,
klok,2,,,,,,,1.0,,
klubbforfølgelse,1,1.0,,,,,,,,
knn,1,1.0,,,,1.0,1.0,1.0,,
knyttet,5,2.0,,2.0,3.0,4.0,8.0,42.0,65.0,68.0
kokebok,1,,,,,,,,,
kokte,1,1.0,1.0,,,,,,,
kollega,1,1.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,3.0
kolleger,1,,1.0,1.0,3.0,6.0,7.0,8.0,6.0,2.0
kollegers,1,,,,1.0,1.0,,,,1.0
kolliderte,1,1.0,,,,,,,,
kolossal,1,1.0,1.0,2.0,2.0,1.0,,,,
kolumnist,1,,,,,,,,,
kom,11,17.0,25.0,21.0,14.0,17.0,23.0,42.0,48.0,42.0
kombinasjon,1,4.0,5.0,2.0,2.0,6.0,8.0,13.0,12.0,6.0
kombinere,2,4.0,3.0,3.0,2.0,7.0,12.0,13.0,19.0,23.0
komedienne,1,1.0,,,,,,,,
kominformering,1,,,,,,,,,
komme,1,1.0,3.0,5.0,10.0,12.0,10.0,14.0,20.0,25.0
kommentar,1,1.0,1.0,4.0,7.0,7.0,9.0,14.0,15.0,11.0
kommentarer,1,2.0,1.0,4.0,4.0,3.0,7.0,12.0,10.0,10.0
kommenterende,1,1.0,2.0,10.0,12.0,13.0,12.0,13.0,32.0,38.0
kommenterer,2,,3.0,3.0,2.0,2.0,2.0,7.0,9.0,5.0
kommer,5,6.0,9.0,14.0,18.0,25.0,23.0,45.0,61.0,55.0
kommersiell,2,1.0,,1.0,1.0,4.0,6.0,4.0,7.0,9.0
kommet,4,8.0,10.0,4.0,1.0,11.0,18.0,17.0,13.0,8.0
kommunalpolitiske,1,1.0,,,1.0,1.0,,,1.0,1.0
kommunistisk,1,1.0,,,,1.0,,,,
kommunistiske,1,,,2.0,2.0,2.0,2.0,2.0,,
kompetent,1,,,,2.0,3.0,4.0,2.0,1.0,4.0
komponere,1,1.0,,,,,,,,
komponering,1,1.0,,,,,,,,
kon-,3,2.0,2.0,1.0,,,,,,
kone,1,,,,,,1.0,1.0,,1.0
konklusjonen,1,,,,,,1.0,3.0,2.0,1.0
konkurranse,1,,1.0,1.0,2.0,6.0,3.0,3.0,12.0,11.0
konnossementer,1,1.0,,,,,,,,
konsekvent,1,,,,,3.0,2.0,1.0,1.0,1.0
konservativ,1,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
konsis,1,1.0,1.0,1.0,,1.0,1.0,1.0,,
konstaterte,1,1.0,,,,,,,,
kont.arb,2,2.0,2.0,,,,,,,
kontbrpraksis,1,,,,,,,,,
kontor-,1,,,,,2.0,2.0,1.0,1.0,
kontormann,1,1.0,,,,,,,,
kontorsjefen,1,1.0,,,,,,,,
korps,1,1.0,,,,,,,,
korr.kurs,1,1.0,,,,,,,,
korrcspondanser,1,,,,,,,,,
korrekt,1,1.0,2.0,3.0,4.0,5.0,9.0,15.0,16.0,13.0
korrekturlesning,2,2.0,2.0,,,,,,,
korrespondanse,1,1.0,1.0,2.0,2.0,1.0,,,,
korrespondanseelever,1,,,,,,,,,
korrespondansekurs,2,2.0,5.0,8.0,8.0,7.0,25.0,26.0,19.0,2.0
korrespondanseskole,3,2.0,,,,,,,,
korrespondanseskolen,1,,,,,,,,,
korrespondent,2,1.0,3.0,3.0,1.0,1.0,,,1.0,4.0
korrespondenten,1,1.0,1.0,,,,,,,
korrupsjon,1,,,,,2.0,3.0,9.0,12.0,4.0
korte,1,2.0,4.0,6.0,4.0,3.0,2.0,1.0,3.0,3.0
kr,3,2.0,3.0,2.0,1.0,,,6.0,4.0,2.0
krav,7,19.0,46.0,31.0,18.0,44.0,37.0,37.0,43.0,29.0
kravde,1,1.0,,,,,,,,
kravet,1,,2.0,5.0,4.0,2.0,5.0,6.0,6.0,6.0
krefter,1,,,,4.0,5.0,5.0,3.0,2.0,17.0
kretser,2,,1.0,1.0,1.0,,,,,
krevel,1,1.0,,,,,,,,
krever,3,1.0,6.0,7.0,17.0,26.0,38.0,40.0,33.0,38.0
krigen,9,8.0,2.0,2.0,4.0,5.0,8.0,13.0,18.0,13.0
krigs-,1,1.0,,,,,,,,1.0
krigspolitikk,1,,,,,,,,,
krigstjeneste,1,1.0,1.0,,,,,1.0,1.0,1.0
kriminalitet,2,,,,,1.0,2.0,2.0,2.0,1.0
kringkasting,5,3.0,5.0,6.0,3.0,9.0,8.0,5.0,3.0,1.0
kringkastingen,2,,,2.0,2.0,,,,,
kringkastingens,1,1.0,1.0,,,,,,,
kringkastingsreportasje,1,,,,,,,,,
kringkastingssjef,1,,1.0,1.0,,,,6.0,5.0,1.0
kristelig,7,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,
kristelige,1,1.0,1.0,,,,2.0,2.0,1.0,
kristen,2,20.0,32.0,27.0,15.0,7.0,8.0,8.0,3.0,3.0
kristent,1,2.0,2.0,1.0,1.0,1.0,1.0,,,
kritikk,4,7.0,8.0,10.0,11.0,17.0,15.0,35.0,22.0,32.0
kritikk-,1,1.0,,,,,,,,
kritis,1,,,,,,1.0,1.0,,
kritiserer,1,,,,1.0,1.0,11.0,13.0,5.0,5.0
kritiske,1,2.0,3.0,6.0,17.0,67.0,127.0,187.0,1269.0,1726.0
kroner,1,7.0,9.0,13.0,8.0,10.0,5.0,20.0,25.0,12.0
kronologisk,1,1.0,,,,,,,,
kroppsarbeide,1,1.0,,,,,,,,
krysning,1,,,,,,,,,
kultur,1,2.0,1.0,,3.0,9.0,18.0,37.0,37.0,33.0
kultur-,1,,,4.0,4.0,,5.0,12.0,9.0,6.0
kulturelle,2,4.0,4.0,,,,,,2.0,4.0
kulturradikal,2,,,,,2.0,1.0,,,
kultursider,1,,,,,,1.0,1.0,,1.0
kun,1,1.0,2.0,2.0,3.0,5.0,5.0,9.0,16.0,8.0
kunne,12,34.0,39.0,31.0,45.0,82.0,97.0,132.0,123.0,99.0
kunnskaper,3,2.0,2.0,3.0,11.0,25.0,27.0,32.0,35.0,25.0
kunst,22,25.0,34.0,25.0,10.0,17.0,18.0,42.0,45.0,46.0
kunstanmeldelser,1,,,,,,,,,
kunsten,1,2.0,1.0,,,,,,,2.0
kunstig,1,1.0,,,,,,,1.0,3.0
kunstner,1,1.0,,,,,,,,
kunstnerisk,13,12.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0
kunstneriske,1,1.0,,,,1.0,1.0,,3.0,5.0
kur,1,,,2.0,2.0,,,,,
kurs,37,38.0,63.0,50.0,41.0,39.0,35.0,54.0,57.0,46.0
kursemner,2,3.0,3.0,,,,,,,
kursene,1,,,,,,,,,1.0
kurser,19,14.0,11.0,8.0,12.0,10.0,2.0,1.0,,1.0
kurset,2,4.0,6.0,7.0,11.0,9.0,5.0,6.0,16.0,18.0
kursplanen,1,1.0,,,,,,,,
kurspr,1,1.0,,,,,,,,
kursus,6,7.0,3.0,1.0,,,,,,
kvalitet,2,4.0,6.0,5.0,3.0,8.0,10.0,19.0,19.0,13.0
kvaliteten,1,,,,,,7.0,7.0,11.0,15.0
kveld,1,8.0,7.0,4.0,5.0,2.0,5.0,16.0,48.0,37.0
kveldsskole,1,1.0,,1.0,1.0,,,,,
kveldsstevne,1,,,,,,,,,
kverulanter,1,,,,,,,,,
kvikke,1,1.0,,,1.0,1.0,,,,
kvinne,1,2.0,1.0,,,,1.0,3.0,2.0,2.0
kvinnelig,4,6.0,5.0,1.0,2.0,1.0,,6.0,7.0,2.0
kvinnene,1,1.0,1.0,1.0,1.0,,,,,3.0
kvinneportrett,1,1.0,,,,,,,,
kårunge,1,,,,,,,,,
kåserer,1,3.0,2.0,1.0,,,,,,
kåseri,2,3.0,2.0,1.0,,1.0,2.0,2.0,1.0,
l,6,7.0,7.0,10.0,12.0,11.0,11.0,12.0,29.0,36.0
l-lurvet,1,,,,,,,,,
lAIMlinOW11,1,1.0,1.0,,,,,,,
lJi,1,1.0,1.0,,,,,,,
la,5,4.0,5.0,8.0,16.0,20.0,7.0,16.0,24.0,27.0
lag,1,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,22.0
lage,5,4.0,8.0,10.0,15.0,34.0,38.0,43.0,52.0,40.0
laget,2,3.0,6.0,4.0,4.0,10.0,11.0,11.0,10.0,15.0
lagt,1,6.0,9.0,7.0,9.0,7.0,11.0,12.0,17.0,16.0
lance,1,1.0,1.0,1.0,,,,,,
land,2,13.0,15.0,12.0,14.0,16.0,17.0,19.0,20.0,9.0
landbruk,2,1.0,1.0,,,,2.0,2.0,2.0,
landbrukets,1,1.0,,,,,,,,
landbruks,1,,1.0,1.0,,,,,,
landbruksuniversiteter,1,,,,,,,,,
landet,4,6.0,8.0,10.0,11.0,26.0,40.0,45.0,40.0,28.0
landets,1,,1.0,5.0,8.0,6.0,1.0,7.0,5.0,17.0
landsmenn,1,,,,,,,,,
lang,1,4.0,8.0,7.0,6.0,2.0,5.0,8.0,16.0,21.0
langt,3,16.0,21.0,14.0,26.0,37.0,37.0,67.0,70.0,50.0
langtfra,1,1.0,1.0,,,,,1.0,2.0,
lar,1,4.0,3.0,5.0,7.0,10.0,16.0,28.0,21.0,12.0
lav,1,1.0,1.0,,1.0,2.0,1.0,5.0,3.0,2.0
lavere,2,1.0,,,1.0,1.0,,1.0,1.0,2.0
laveste,8,1.0,2.0,2.0,1.0,,,,2.0,2.0
lavmål,3,4.0,6.0,6.0,9.0,7.0,9.0,17.0,22.0,19.0
lavmålet,1,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0
lavt,2,3.0,3.0,1.0,,1.0,4.0,5.0,8.0,8.0
ld,1,,,,,,,,1.0,1.0
ledaktor,1,,,,,,,,,
ledd,1,3.0,3.0,2.0,4.0,4.0,7.0,10.0,7.0,1.0
lede,2,1.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,
ledelse,1,1.0,4.0,3.0,2.0,2.0,6.0,13.0,18.0,28.0
leder,1,1.0,3.0,5.0,8.0,17.0,16.0,27.0,27.0,33.0
lederskikkelse,1,1.0,1.0,,,,,,,
ledes,1,,,1.0,1.0,1.0,2.0,1.0,,1.0
ledet,1,4.0,6.0,4.0,2.0,5.0,6.0,16.0,13.0,
leerte,1,,,,,,,,,
legg,2,,,,,,2.0,1.0,1.0,2.0
legge,3,2.0,1.0,2.0,2.0,7.0,12.0,16.0,13.0,11.0
legger,1,3.0,3.0,5.0,5.0,12.0,23.0,33.0,28.0,21.0
legges,1,3.0,2.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0
legmannsbetraktninger,1,1.0,,,,,,,,
leirras,1,,,,,,,,,
leksikalske,1,1.0,,,,,,,,
leksjon,2,1.0,,,1.0,2.0,1.0,1.0,1.0,
lektor,4,6.0,6.0,12.0,24.0,17.0,2.0,14.0,14.0,6.0
lenge,3,1.0,3.0,5.0,7.0,17.0,24.0,34.0,29.0,32.0
lenger,1,1.0,1.0,4.0,9.0,11.0,12.0,17.0,34.0,29.0
lensmann,1,2.0,2.0,,,1.0,1.0,,1.0,1.0
lenter,1,,,,,,,,,
ler,1,1.0,2.0,1.0,1.0,1.0,2.0,4.0,9.0,9.0
leratur,1,,,,,,,,,
lerne,1,,,,,,,,,
lertid,1,1.0,,,,,,,,
lese,1,,1.0,3.0,3.0,9.0,11.0,9.0,10.0,9.0
leser,2,1.0,2.0,3.0,4.0,6.0,3.0,17.0,19.0,8.0
lesere,2,3.0,2.0,3.0,7.0,8.0,5.0,15.0,20.0,18.0
leseren,1,1.0,,2.0,4.0,4.0,1.0,5.0,6.0,8.0
leserne,2,4.0,6.0,3.0,1.0,7.0,12.0,29.0,31.0,29.0
lesever-,1,1.0,,,,,,,,
leseverdige,1,,,,,1.0,,,,
lesning,1,1.0,1.0,,,,2.0,3.0,2.0,1.0
let,1,,,,,,1.0,4.0,5.0,4.0
lete,1,,1.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0
lett,3,4.0,6.0,9.0,11.0,19.0,15.0,20.0,24.0,19.0
lettbenet,1,1.0,,,,,,,,
lettbent,1,1.0,3.0,3.0,5.0,3.0,4.0,6.0,8.0,3.0
lette,1,3.0,2.0,,,1.0,1.0,2.0,,3.0
