,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-0-b,245-1-3-b
2013030608127.0,"Nilsson, Moni",Sommer og herlige hemmeligheter,2011,"barnebøker, besteforeldre, familien, foreldre, konflikter",nob,2011.0,,,
2013041206092.0,"Ringtved, Glenn","Fotball, svette og tårer",2010,"barnebøker, fotball",nob,2010.0,,,
2013061006084.0,"Nesbø, Jo",Doktor Proktors sensasjonelle samling av dyr du skulle ønske ikke fantes,cop. 2010,"barnebøker, fantasidyr, humor",nob,2010.0,,,
2013061806026.0,"Hagerup, Hilde",Mysteriet med den forsvunne diamanten,2012,"barnebøker, lettlest, spenning, spenningslitteratur",nob,2012.0,,,
2013062808058.0,"Røssland, Tor Arve",Svarte-Mathilda,2013,"barnebøker, grøssere, spenningslitteratur, spøkelser, ungdomsbøker, vold",nno,2013.0,,,
2013070108122.0,"Eriksen, Endre Lund",,2013,"barn, barnebøker, fedre, fortellinger, homofili, ungdomsbøker, vennskap",nob,2013.0,,,
2013070305052.0,"Berg, Øivind","Å, så vakkert! :",cop. 2010,"barnebøker, klimaendringer, miljøvern",nob,2010.0,,miljøboka,
2013070408103.0,"Colfer, Eoin",Artemis Fowl og den siste vokter,2013,"alver, barnebøker, eventyrskikkelser, fantastisk, fantasy, irsk, litteratur, ungdomsbøker, ungdomslitteratur",nob,2013.0,,,
2013070508195.0,"Svingen, Arne",Rattus norvegicus,2011,"barnebøker, grøsser",nob,2011.0,,,
2013071708001.0,"Kaaberbøl, Lene",Kimæras hemn,2013,"barnebøker, fantastisk, fantasy, hekser, litteratur, trolldom",nno,2013.0,,,
2013072408147.0,"Øvsteng, Gyrid Axe",Gjøglaren ; Nattsvermar ; Gåva :,2012,"barn, barnebøker, drama, skuespill",nno,2012.0,,scenetekster,
2013082708186.0,"Ewo, Jon",Otto Monsters møkkaferie,2012,"barnebøker, barnelitteratur, lettlest, monster, norsk",nob,2012.0,,,
