,lemmet,magen,lårene,lungene,ankelen,fingrene,leppen,knærne,albuen,halsen,hånden,øyenbrynene,nakken,kjønnet,neglen,øynene,brystet,håret,rumpa,hjertet,tærne,øyet,øyenvippene,hjernen,brystene,tommelen,skuldrene,tåa,pannen,kuken,fingeren,kinnet,armen,låret,foten,hodet,leppene,leggene,munnen,tungen,leggen,hendene,nesen,kneet,neglene,grotten,ansiktet,skulderen,tåen,fitta,skjødet
ikke,0.05263157894736842,0.0005277044854881266,0.0,0.001913265306122449,0.0021037868162692847,0.0011316933706593602,0.0,0.0011497556769186547,0.0004428697962798937,0.00043977131891416465,9.77262362368884e-05,0.0003850596842510589,0.00011622501162250116,0.011235955056179775,0.0,0.000547133983457243,0.0,0.0006849927033385949,0.0,0.0017082940622054666,0.0,0.0025431425976385103,0.0,0.007539241132122111,0.001379310344827586,0.0003598416696653472,0.0001111646348241746,0.0,0.0003303600925008259,0.0,0.0004553734061930783,0.0004282196766941441,9.967770874173506e-05,0.0,0.00046061722708429296,0.0003318538183929979,0.0004042037186742118,0.001199040767386091,0.0005208604614823689,0.0,0.0,0.0003783051927365403,0.00024968789013732833,0.0007178750897343862,0.0009779951100244498,0.0006738544474393531,0.0004704332690407866,0.0004257734885041158,0.0,0.0,0.0
sitt,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01691232603206295,0.02728057896774578,0.0,0.018732327992459944,0.0,0.017438692098092644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026228455197516327,0.0,0.011686991869918699,0.0,0.011224955407143154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589375448671931,0.0,0.0,0.012717379373069264,0.0,0.0,0.0,0.0
og,0.05263157894736842,0.08122251539138083,0.14634146341463414,0.06728316326530612,0.06802244039270687,0.04961581988206564,0.2069701280227596,0.16657085369359012,0.13950398582816653,0.09527045936113221,0.08840966838230503,0.1058914131690412,0.12157136215713621,0.0449438202247191,0.047619047619047616,0.11738705974488536,0.09160843267367431,0.08339041605861156,0.06965761511216056,0.028334118755890668,0.11118690313778991,0.058673932788374204,0.10069444444444445,0.031763688048448896,0.06344827586206897,0.12198632601655272,0.14325415941008635,0.04984423676012461,0.12216716220680542,0.04,0.051001821493624776,0.08478749598544053,0.10303352493604014,0.058434959349593495,0.04854905573468448,0.10437632223005766,0.07865804365400161,0.10551558752997602,0.10359914578884317,0.08841573439191627,0.06590509666080843,0.07229611341191462,0.11410736579275906,0.08542713567839195,0.04547677261613692,0.06199460916442048,0.05579338570823729,0.1045510455104551,0.02877697841726619,0.0,0.0
",",0.0,0.10993843447669305,0.11751662971175167,0.1055484693877551,0.13113604488078542,0.06200488415033653,0.1073968705547653,0.12891635527450418,0.091674047829938,0.11150201895014593,0.0705746302690729,0.07508663842895649,0.1201766620176662,0.11235955056179775,0.09523809523809523,0.09491165395384764,0.11738798520171473,0.08616016916341543,0.09602518693427785,0.05389962299717248,0.128581173260573,0.10099909173478656,0.11458333333333333,0.06612285255221852,0.08551724137931034,0.04893846707448723,0.08737540297180124,0.09034267912772585,0.0962008589362405,0.12,0.05965391621129326,0.09945401991221496,0.07067149549789016,0.10721544715447154,0.06761860893597421,0.08128759281536484,0.07016976556184316,0.10671462829736211,0.10901609458825981,0.10032479249368459,0.11335676625659051,0.06222124880535202,0.09650436953807741,0.08722182340272792,0.06992665036674817,0.18261455525606468,0.0779351115710903,0.08610086100861009,0.050359712230215826,0.02631578947368421,0.3333333333333333
min,0.0,0.04366754617414248,0.0,0.0,0.06451612903225806,0.0,0.009246088193456615,0.0,0.04472984942426927,0.03222324391316515,0.04513323343540296,0.0003850596842510589,0.03079962807996281,0.0,0.047619047619047616,1.0728117322691041e-05,0.0,0.0,0.0003935458480913026,0.0,0.0,0.0,0.0,0.11902113459399333,0.0,0.013314141777617848,3.705487827472487e-05,0.0,0.01275189957053188,0.0,0.021402550091074682,0.0,0.05439080307007343,0.0,0.029663749424228465,0.0,8.084074373484237e-05,0.001199040767386091,0.023829366112818377,0.024539877300613498,0.03163444639718805,0.0,0.019350811485642945,0.0,0.0,0.0,0.0,0.051045510455104554,0.03597122302158273,0.0,0.0
til,0.0,0.04124890061565523,0.014781966001478197,0.019770408163265307,0.03506311360448808,0.02352730954791828,0.004267425320056899,0.012647312446105202,0.04118689105403012,0.034741934194219004,0.044383998957586816,0.01809780515979977,0.034635053463505344,0.06741573033707865,0.023809523809523808,0.030028000386212225,0.030712314287392097,0.03404115912678322,0.053128689492325853,0.04164703110273327,0.02796725784447476,0.03505903723887375,0.034722222222222224,0.041156840934371525,0.038620689655172416,0.01835192515293271,0.02397450624374699,0.040498442367601244,0.017575156921043937,0.08,0.030813600485731632,0.03008243228776362,0.05804565239060371,0.04420731707317073,0.05020727775218793,0.023486953996764426,0.023767178658043654,0.04316546762589928,0.021485494036147718,0.020209310718152292,0.0492091388400703,0.024609748327492832,0.020848938826466917,0.03230437903804738,0.022493887530562348,0.018194070080862535,0.0636966646281225,0.06457564575645756,0.014388489208633094,0.13157894736842105,0.0
hennes,0.0,0.03245382585751979,0.07243163340724317,0.04591836734693878,0.052594670406732116,0.041277026624575615,0.007823613086770981,0.016671457315320496,0.024357838795394153,0.04757526086435054,0.058179685973027556,0.014632268001540239,0.041143654114365415,0.02247191011235955,0.017006802721088437,0.05071181058436055,0.03928592401197956,0.07531941507579593,0.03935458480913026,0.061204052780395854,0.019440654843110503,0.020708446866485014,0.08333333333333333,0.05784204671857619,0.1986206896551724,0.008636200071968334,0.04190906732871383,0.009345794392523364,0.02497522299306244,0.0,0.02018822100789314,0.07568782785568996,0.051599827225304845,0.06504065040650407,0.02146476278212805,0.027494088853859875,0.06725949878738885,0.07074340527577938,0.038908276472732956,0.0267051605918441,0.0421792618629174,0.028631729850270786,0.027215980024968788,0.04199569274946159,0.060146699266503664,0.0026954177897574125,0.08676357592008907,0.08122811997350743,0.007194244604316547,0.05263157894736842,0.6666666666666666
min.,0.0,0.026165347405452948,0.0,0.0,0.03716690042075736,0.0,0.002844950213371266,0.0,0.021257750221434897,0.02838523967536881,0.02128803179360219,0.0,0.022431427243142725,0.0,0.017006802721088437,0.0,5.872335427799636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03065134099616858,0.0,0.00395825836631882,3.705487827472487e-05,0.0,0.015196564255037992,0.0,0.01092896174863388,0.0,0.03296009569060039,0.0,0.01050207277752188,0.0,0.0,0.0,0.014610135944580447,0.007217610970768676,0.04657293497363796,0.0,0.011485642946317104,0.0,0.0,0.0,0.0,0.05279591257451036,0.0,0.0,0.0
din,0.0,0.006860158311345646,0.0,0.0,0.016830294530154277,0.0,0.0035561877667140826,0.0,0.00354295837023915,0.005317235037780354,0.006954850478858557,0.0,0.006159925615992562,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.00018165304268846503,0.0,0.0614262761092572,0.0,0.006477150053976251,0.0,0.0,0.0029071688140072677,0.0,0.010625379477838493,0.0,0.008937767883842243,0.0,0.01243666513127591,0.0,0.0,0.0,0.006901401114641387,0.017683146878383255,0.009666080843585237,1.9910799617712648e-05,0.009737827715355805,0.0,0.0,0.0013477088948787063,1.568110896802622e-05,0.002791181757971426,0.0,0.0,0.0
s,0.0,4.397537379067722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.645180582782336e-05,0.0,0.0,1.6592690919649896e-05,0.0,0.0,2.6043023074118443e-05,0.0,0.0,1.9910799617712648e-05,0.0,0.0,0.0004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0
Sjå,0.0,8.795074758135444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rumlet,0.0,0.0015831134564643799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ble,0.0,0.002638522427440633,0.0007390983000739098,0.008290816326530613,0.0,0.0023825123592828637,0.0,0.0014371945961483186,0.0,0.0019589813297085515,0.0005537820053423676,0.003850596842510589,0.0010460251046025104,0.0,0.006802721088435374,0.0045916342141117655,0.001468083856949909,0.0015784614468237186,0.0003935458480913026,0.00235626767200754,0.001364256480218281,0.0023614895549500456,0.0,0.003955011741441108,0.005517241379310344,0.0003598416696653472,0.00029643902619779893,0.0,0.0016518004625041295,0.0,0.0007589556769884638,0.0011776041109088963,0.0011961325049008207,0.0010162601626016261,0.0014739751266697374,0.0007964491641431949,0.0016976556184316895,0.002398081534772182,0.002161570915151831,0.0021652832912306026,0.0,0.0008163427843262185,0.0016229712858926342,0.0,0.001466992665036675,0.008086253369272238,0.002791237396308667,0.0003784653231147696,0.007194244604316547,0.0,0.0
lokket,0.0,8.795074758135444e-05,0.0,0.0,0.0,0.00011912561796414319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9782291449504125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sin,0.0,0.010729991204925241,0.0,0.0,0.016129032258064516,5.9562808982071595e-05,0.013513513513513514,0.0,0.010186005314437556,0.007116299524247392,0.02571828783634113,0.0,0.004649000464900047,0.0,0.030612244897959183,0.0,0.0,2.9782291449504125e-05,0.0,5.89066918001885e-05,0.0,0.0,0.0,0.013471758744283772,0.0,0.01583303346527528,0.0,0.0,0.00726792203501817,0.0,0.02018822100789314,0.0,0.027677177127288434,0.0,0.02100414555504376,0.0,0.0,0.0,0.008099380176050835,0.024178996752075063,0.015817223198594025,3.9821599235425295e-05,0.03295880149812734,0.0,0.0,0.0026954177897574125,0.0,0.014665531270697323,0.04316546762589928,0.0,0.0
