,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
deres,80.0,6.0,,303.0,697.0,2.0,1.0,2.0,38.0,7.0,33.0,23.0,9.0,,107.0,11.0,10.0,4.0,68.0,,,2.0,11.0,,1.0,7.0,,9.0,13.0,24.0,,1.0,3.0,,,,
over,146.0,13.0,7.0,1060.0,108.0,4.0,,3.0,25.0,27.0,488.0,65.0,6.0,3.0,9.0,48.0,13.0,1.0,457.0,164.0,4.0,68.0,4.0,,1.0,3.0,,,,7.0,12.0,266.0,1695.0,9.0,305.0,,1.0
falle,43.0,,,100.0,3.0,,,,3.0,2.0,75.0,,,1.0,5.0,2.0,,,,,,,,,,,,,,2.0,,49.0,91.0,,1.0,,
?,234.0,26.0,1.0,135.0,245.0,52.0,,4.0,160.0,38.0,404.0,149.0,63.0,31.0,16.0,173.0,39.0,3.0,48.0,14.0,23.0,69.0,27.0,,4.0,21.0,,1.0,2.0,18.0,10.0,89.0,165.0,2.0,35.0,,1.0
vårt,39.0,,,,,6.0,,,13.0,,28.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
bakover,237.0,1.0,,5.0,20.0,1.0,,,1.0,1.0,1529.0,4.0,40.0,,45.0,1.0,,,,17.0,,18.0,,,,1.0,,,,,2.0,96.0,35.0,16.0,2.0,,
klistret,54.0,,,,36.0,3.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,
løst,35.0,,,6.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,2.0,,,,,
flagret,70.0,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,
tilbake,71.0,,,4.0,15.0,3.0,,1.0,16.0,,180.0,2.0,4.0,5.0,23.0,1.0,1.0,,3.0,2.0,,13.0,3.0,,,,,,,1.0,2.0,40.0,75.0,,2.0,,
rekker,11.0,,,,,15.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
begynner,12.0,,,5.0,20.0,,,,4.0,2.0,5.0,,1.0,,1.0,6.0,3.0,2.0,4.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,4.0,2.0,,,,
ned,48.0,26.0,,284.0,56.0,7.0,,2.0,600.0,11.0,650.0,3.0,2.0,3.0,13.0,27.0,4.0,,86.0,23.0,,182.0,26.0,3.0,1.0,17.0,,,,8.0,5.0,106.0,774.0,5.0,33.0,,
om,19.0,,,232.0,40.0,2.0,,1.0,10.0,1.0,35.0,45.0,5.0,,3.0,8.0,5.0,,94.0,2.0,,1.0,7.0,,,3.0,,2.0,,5.0,,734.0,122.0,1.0,17.0,,
